idx,D_RT,D_TT,D_InfT,O_RT,O_TT,O_InfT,R_RT,R_TT,R_InfT,C_RT,C_InfT,P_RT,P_TT,P_InfT,Ch_RT,Ch_TT,Ch_InfT
0,2.43E-01,8.50E-02,3.09E-01,1.00E+00,2.79E-01,9.81E-01,2.56E-01,5.43E-01,1.58E-01,9.72E-01,2.81E-01,1.52E-02,9.62E-01,2.73E-01,2.70E-03,1.22E-02,1.00E+00
1,8.14E-01,4.90E-02,6.77E-01,1.00E+00,8.34E-01,1.00E+00,2.08E-01,1.00E-03,6.25E-01,4.17E-01,1.00E+00,1.37E-01,7.11E-01,1.00E+00,3.71E-01,2.14E-01,1.54E-01
2,6.61E-01,1.00E+00,1.98E-03,1.00E+00,1.00E+00,8.62E-01,9.86E-01,6.28E-02,4.15E-01,1.00E+00,1.00E+00,1.00E+00,2.51E-01,1.00E+00,8.84E-01,4.57E-01,1.00E+00
3,2.20E-01,6.28E-02,1.43E-01,1.00E+00,3.07E-01,1.37E-01,1.00E+00,5.22E-01,1.13E-01,9.74E-01,3.50E-01,7.74E-02,1.00E+00,3.77E-01,1.00E-03,1.00E+00,1.00E+00
4,1.00E-03,2.13E-01,9.53E-01,5.76E-01,2.52E-01,1.00E+00,1.00E-03,9.03E-01,5.22E-01,3.48E-01,1.00E+00,9.27E-01,3.33E-01,7.41E-01,7.17E-01,9.62E-01,1.00E+00
5,1.59E-01,7.38E-01,3.66E-01,1.00E+00,4.33E-01,5.81E-01,1.63E-01,8.10E-01,1.26E-03,1.00E+00,5.69E-01,7.36E-01,1.32E-01,1.93E-01,9.91E-01,3.86E-01,1.00E+00
6,7.46E-01,6.44E-02,1.00E+00,1.00E+00,1.00E-03,6.60E-02,5.29E-01,1.00E-03,3.80E-01,1.00E+00,1.00E+00,5.37E-01,8.43E-01,1.00E+00,1.00E-03,6.09E-01,6.66E-01
7,8.14E-01,2.49E-01,6.77E-01,1.00E+00,8.34E-01,9.91E-01,2.08E-01,1.07E-02,6.25E-01,4.17E-01,1.00E+00,1.37E-01,7.11E-01,1.00E+00,3.71E-01,1.93E-01,1.48E-01
8,9.23E-01,1.88E-01,2.68E-01,1.00E+00,5.39E-01,1.47E-01,3.21E-01,7.37E-01,6.58E-01,9.97E-01,1.00E+00,5.11E-01,3.54E-01,1.00E+00,4.16E-01,9.92E-01,6.07E-01
9,9.94E-01,7.89E-02,9.81E-01,1.00E+00,5.11E-01,3.74E-01,1.00E+00,4.71E-01,1.83E-01,1.00E+00,5.72E-03,6.45E-01,1.79E-01,1.73E-01,2.87E-02,7.69E-01,4.05E-01
10,9.65E-01,4.03E-01,3.51E-01,1.00E+00,3.62E-01,8.31E-01,3.83E-01,9.68E-01,1.89E-01,8.81E-01,9.94E-01,6.22E-01,7.99E-01,7.12E-01,8.36E-01,1.73E-02,3.92E-01
11,1.17E-01,1.69E-01,4.35E-01,1.00E+00,5.45E-01,8.64E-01,2.42E-01,7.52E-01,4.55E-01,1.00E+00,1.00E+00,8.13E-01,7.78E-01,1.00E+00,8.94E-01,1.00E+00,1.00E+00
12,1.00E-03,9.07E-01,5.63E-01,9.79E-01,1.00E-03,1.00E-03,1.00E-03,4.55E-01,1.00E+00,1.00E-03,1.00E+00,1.00E+00,1.62E-01,1.00E+00,1.00E+00,1.00E-03,1.00E+00
13,3.71E-01,6.64E-02,2.57E-01,9.99E-01,4.68E-01,7.04E-01,8.86E-03,4.82E-01,4.70E-01,6.12E-01,1.00E+00,5.02E-01,5.64E-01,1.00E+00,8.02E-02,6.34E-01,1.00E+00
14,3.33E-01,4.64E-01,3.56E-01,1.00E+00,3.10E-01,1.00E-03,6.80E-01,9.15E-01,3.85E-01,1.00E+00,1.00E+00,2.44E-01,1.00E+00,1.00E+00,1.83E-01,2.65E-01,7.47E-01
15,1.73E-01,7.66E-01,7.59E-01,1.00E+00,5.55E-01,6.33E-01,6.17E-02,2.40E-01,1.62E-01,9.86E-01,1.23E-01,8.57E-01,1.38E-01,6.55E-01,1.00E-03,4.77E-01,6.81E-01
16,6.83E-02,4.19E-01,5.44E-01,1.00E+00,3.78E-01,1.00E+00,2.06E-01,6.83E-01,5.88E-02,7.77E-01,3.25E-01,9.75E-01,1.00E-03,5.49E-02,1.00E+00,1.39E-01,9.40E-02
17,7.38E-01,1.90E-01,6.34E-01,1.00E+00,6.35E-03,8.07E-01,1.44E-01,7.60E-01,2.12E-01,1.00E+00,6.70E-01,2.59E-01,1.73E-01,8.48E-01,9.59E-01,3.51E-01,1.83E-01
18,9.21E-02,1.00E-03,1.40E-01,9.66E-02,1.00E+00,9.84E-01,1.00E-03,2.33E-01,2.40E-01,6.69E-01,1.00E+00,1.00E+00,8.22E-02,1.00E+00,4.38E-01,9.98E-01,1.00E+00
19,6.61E-01,1.00E+00,6.19E-01,1.00E+00,8.35E-01,8.64E-01,6.32E-01,9.53E-02,4.55E-01,1.00E+00,1.00E+00,1.00E+00,4.49E-01,9.97E-01,1.00E-03,9.95E-01,9.62E-01
20,1.00E+00,1.86E-01,8.08E-01,1.00E+00,9.06E-01,7.62E-01,1.17E-01,3.05E-01,3.49E-01,9.96E-01,1.00E+00,1.00E+00,1.00E-03,1.00E+00,1.00E+00,9.28E-01,9.90E-01
21,5.43E-01,9.67E-02,6.67E-01,1.00E+00,2.69E-01,9.46E-01,6.55E-01,3.24E-01,6.72E-02,1.00E+00,9.36E-01,1.24E-01,4.52E-01,4.40E-01,1.86E-01,8.21E-01,8.67E-01
22,9.77E-01,3.55E-02,2.73E-01,1.00E+00,6.24E-01,9.97E-01,6.68E-01,2.65E-02,9.23E-02,1.00E+00,1.10E-03,2.97E-01,7.97E-01,4.98E-02,6.18E-01,5.82E-01,9.89E-01
23,2.80E-01,1.00E+00,3.61E-01,1.00E+00,8.23E-01,6.99E-01,6.31E-01,6.28E-02,4.51E-01,1.00E+00,1.00E+00,7.47E-01,4.32E-01,9.85E-01,9.83E-01,2.46E-01,1.00E+00
24,7.92E-01,4.03E-01,7.87E-01,1.00E+00,3.52E-01,8.98E-01,9.09E-02,7.29E-01,1.54E-01,9.78E-01,6.66E-01,3.07E-02,8.02E-01,6.89E-01,6.43E-01,1.31E-01,7.48E-01
25,1.71E-01,5.68E-01,8.56E-01,5.50E-01,9.81E-01,5.00E-01,2.73E-02,3.83E-01,3.86E-01,9.85E-01,1.00E+00,9.68E-01,2.32E-01,7.66E-01,5.71E-01,1.15E-01,6.73E-01
26,6.00E-01,1.08E-01,3.93E-01,1.00E+00,5.70E-01,8.19E-01,2.67E-01,7.54E-01,1.59E-01,9.88E-01,7.76E-01,6.64E-01,4.36E-01,8.29E-01,8.86E-01,6.07E-02,5.90E-01
27,5.47E-01,4.00E-01,9.11E-01,1.00E+00,8.65E-01,1.00E+00,3.18E-01,8.97E-01,5.83E-01,1.00E+00,1.00E+00,2.81E-01,3.21E-01,3.44E-01,2.59E-01,3.48E-01,5.73E-01
28,6.89E-01,5.32E-01,8.22E-01,1.00E+00,5.61E-01,7.65E-01,1.06E-01,7.60E-01,2.44E-01,5.66E-01,4.88E-01,7.17E-01,7.81E-01,8.10E-01,8.69E-01,1.61E-01,9.70E-01
29,6.32E-01,7.33E-02,9.11E-01,1.00E+00,7.44E-01,7.33E-01,2.73E-01,7.54E-01,7.75E-02,1.00E+00,9.97E-01,1.94E-01,5.41E-01,4.85E-01,7.11E-01,3.10E-01,3.40E-01
30,8.88E-02,2.84E-01,8.50E-01,7.92E-01,5.29E-01,4.66E-01,4.09E-02,2.07E-01,2.28E-01,6.21E-01,9.37E-01,2.47E-01,6.18E-01,1.15E-01,6.34E-01,7.43E-01,8.90E-01
31,6.20E-01,3.46E-01,3.55E-01,7.93E-01,3.72E-01,3.37E-01,1.10E-01,4.47E-01,1.97E-01,9.62E-01,8.49E-01,9.03E-01,6.83E-01,4.15E-01,5.51E-01,9.95E-01,2.99E-01
32,9.65E-01,1.00E+00,1.00E+00,1.00E+00,1.00E-03,6.85E-01,8.03E-01,1.00E+00,3.41E-01,9.55E-01,1.00E+00,7.74E-01,3.29E-01,7.44E-01,8.30E-01,8.04E-01,1.00E+00
33,9.37E-01,1.05E-01,2.63E-02,9.87E-01,3.32E-01,4.21E-01,5.20E-02,2.97E-02,1.56E-01,8.79E-01,3.35E-01,1.92E-02,8.64E-01,7.03E-01,6.93E-01,4.34E-01,8.49E-01
34,3.00E-01,5.19E-02,7.27E-01,1.00E+00,9.96E-01,6.06E-01,2.56E-01,6.32E-01,2.43E-01,9.98E-01,8.27E-01,1.66E-02,4.01E-01,6.98E-01,1.88E-03,8.13E-01,4.34E-01
35,1.57E-01,3.49E-01,9.07E-01,1.00E+00,8.01E-01,6.31E-01,7.13E-01,8.63E-02,2.02E-01,1.00E+00,4.50E-01,1.90E-01,2.56E-01,7.52E-03,4.59E-01,7.95E-01,1.00E+00
36,9.35E-01,3.14E-01,8.11E-01,8.78E-01,4.91E-01,2.92E-01,5.59E-02,5.73E-01,2.32E-01,2.73E-01,3.40E-01,3.48E-01,5.13E-01,2.84E-01,9.35E-01,3.10E-01,9.85E-01
37,5.93E-01,8.59E-01,3.44E-01,1.00E+00,5.50E-01,1.70E-02,9.14E-02,4.39E-01,2.20E-01,9.66E-01,5.11E-01,9.78E-01,1.51E-01,4.46E-01,5.40E-01,2.47E-01,7.39E-01
38,1.96E-01,7.62E-01,5.37E-01,1.00E+00,9.35E-01,9.66E-01,3.89E-01,1.99E-01,1.77E-01,1.00E+00,3.58E-01,7.87E-01,6.88E-01,9.82E-01,5.01E-01,9.66E-01,3.64E-01
39,4.59E-01,2.49E-02,8.07E-01,1.00E+00,6.18E-01,9.86E-01,6.81E-02,9.76E-02,2.34E-01,8.15E-01,1.83E-01,7.91E-02,1.55E-01,6.61E-01,1.25E-01,9.33E-01,4.46E-01
40,4.29E-01,6.86E-01,8.58E-01,1.00E+00,8.42E-01,4.41E-01,4.13E-01,1.16E-01,2.71E-03,1.00E+00,2.00E-01,8.91E-01,1.87E-01,5.91E-01,3.22E-01,1.00E+00,4.18E-01
41,3.55E-01,6.87E-01,6.71E-01,9.99E-01,5.27E-01,9.97E-01,4.97E-02,4.27E-01,2.26E-01,9.83E-01,1.18E-01,6.86E-01,4.70E-01,8.98E-01,7.16E-01,3.56E-01,2.46E-01
42,7.37E-01,2.31E-01,7.84E-01,9.90E-01,8.67E-01,3.32E-01,1.31E-01,4.15E-01,1.42E-01,9.48E-01,7.45E-01,5.07E-01,5.09E-01,8.61E-01,7.62E-01,9.03E-01,8.52E-01
43,3.28E-01,3.57E-01,5.41E-01,1.00E+00,7.59E-02,9.70E-01,1.67E-01,9.22E-01,9.74E-02,8.64E-01,8.63E-01,4.78E-01,1.14E-01,8.32E-01,4.82E-01,1.44E-01,3.82E-01
44,9.23E-01,5.71E-01,2.69E-01,1.00E+00,2.68E-01,4.03E-01,1.76E-01,9.91E-01,8.54E-02,9.69E-01,7.55E-01,4.54E-01,8.94E-02,5.95E-01,7.38E-01,1.18E-01,1.78E-01
45,6.20E-02,8.71E-01,8.88E-01,9.47E-01,5.62E-01,6.35E-01,2.46E-02,8.25E-01,1.51E-01,9.90E-01,1.59E-01,8.95E-01,8.12E-01,4.11E-01,9.63E-01,8.32E-01,2.64E-01
46,4.89E-02,1.00E+00,1.94E-01,1.00E+00,4.14E-01,5.82E-01,1.05E-01,1.35E-01,2.61E-01,9.89E-02,1.00E+00,5.67E-01,4.98E-01,1.00E+00,4.38E-01,2.28E-02,5.67E-01
47,1.84E-02,5.04E-01,2.31E-01,5.89E-01,4.14E-01,5.82E-01,2.25E-02,1.51E-03,2.61E-01,3.55E-01,1.00E+00,6.14E-01,1.96E-01,1.00E+00,4.47E-01,2.28E-02,5.88E-01
48,9.16E-01,2.41E-01,1.70E-01,1.00E+00,8.10E-01,6.99E-02,4.81E-02,9.62E-01,2.39E-01,9.52E-01,1.20E-01,3.82E-01,7.30E-01,8.73E-01,1.25E-01,8.57E-01,2.89E-01
49,9.54E-01,6.46E-01,4.44E-01,1.00E+00,7.99E-01,1.23E-02,2.14E-01,7.51E-01,1.74E-01,1.00E+00,9.34E-01,3.07E-01,1.22E-02,2.00E-01,1.55E-02,9.44E-01,7.18E-01
50,8.51E-01,4.25E-01,1.00E+00,1.00E+00,7.20E-01,6.04E-01,2.19E-01,1.00E+00,2.68E-01,6.90E-01,1.00E+00,1.00E-03,1.00E+00,8.43E-01,1.00E-03,4.41E-01,8.59E-01
51,8.35E-01,4.50E-01,8.43E-01,1.00E+00,6.06E-01,1.42E-02,1.49E-01,5.79E-01,2.07E-01,9.06E-01,9.38E-01,3.37E-03,3.44E-02,7.65E-01,4.07E-01,7.92E-01,8.53E-01
52,3.86E-01,2.02E-01,5.34E-01,1.00E+00,8.47E-01,6.72E-01,1.22E-01,9.38E-01,8.90E-02,9.90E-01,4.34E-01,6.23E-01,8.57E-01,2.40E-03,4.18E-01,4.11E-01,2.95E-01
53,3.06E-01,6.82E-02,5.09E-01,9.82E-01,7.31E-01,1.42E-02,1.51E-01,3.59E-01,2.80E-01,9.95E-01,1.00E+00,7.51E-01,3.92E-01,1.55E-01,3.09E-01,5.04E-01,4.19E-01
54,4.98E-01,1.00E-01,6.95E-01,1.00E+00,6.00E-01,9.92E-01,3.33E-01,9.85E-01,1.91E-01,1.00E+00,5.03E-01,4.52E-01,3.00E-01,3.01E-01,5.38E-01,3.30E-03,1.31E-02
55,5.66E-01,1.65E-01,1.79E-01,9.83E-01,7.52E-01,3.75E-01,6.78E-02,2.55E-01,1.52E-01,7.51E-01,9.32E-01,6.50E-02,9.44E-03,6.07E-01,9.27E-01,1.00E-01,3.61E-01
56,7.05E-02,2.93E-01,4.35E-01,1.00E+00,1.95E-02,5.29E-02,2.94E-01,1.25E-01,1.00E-01,1.00E+00,8.57E-01,9.51E-01,1.52E-01,9.72E-01,8.66E-01,3.29E-01,5.71E-01
57,3.33E-01,8.00E-01,3.47E-01,1.00E+00,4.99E-01,1.54E-01,1.65E-01,1.16E-01,9.66E-02,9.07E-01,3.27E-01,5.06E-01,2.21E-01,7.57E-02,4.99E-01,2.21E-01,2.19E-01
58,6.17E-01,6.71E-01,7.00E-01,9.99E-01,3.66E-01,8.17E-01,1.78E-02,7.08E-01,2.28E-01,8.54E-01,1.77E-01,4.42E-01,1.62E-01,3.25E-01,6.36E-01,4.96E-01,2.48E-01
59,2.25E-01,2.43E-01,1.05E-01,1.00E+00,6.91E-01,4.51E-01,1.57E-01,4.17E-01,5.24E-02,9.97E-01,3.88E-01,9.02E-01,3.80E-01,7.93E-01,3.05E-01,1.00E+00,4.42E-01
60,1.23E-01,9.88E-02,6.54E-01,1.00E+00,7.32E-01,3.65E-01,9.84E-02,1.84E-01,4.76E-01,1.15E-01,1.00E+00,7.72E-01,5.08E-01,1.00E+00,4.99E-01,1.00E+00,4.69E-02
61,4.00E-01,1.00E-03,6.85E-01,1.00E+00,8.96E-01,4.74E-01,1.76E-01,7.14E-01,1.00E-03,1.00E+00,7.92E-01,1.00E+00,1.00E-03,9.09E-01,6.17E-01,4.36E-01,1.00E-03
62,3.12E-01,5.82E-01,3.78E-01,1.00E+00,8.04E-01,1.00E-03,3.94E-01,6.83E-01,3.24E-01,1.00E+00,1.00E+00,1.00E-03,5.63E-02,1.00E+00,7.91E-01,1.84E-01,4.88E-01
63,3.27E-01,1.00E+00,9.71E-01,1.00E+00,5.79E-01,1.59E-01,7.14E-01,4.47E-01,6.51E-02,8.76E-01,5.48E-01,1.00E+00,3.55E-01,6.09E-01,1.08E-01,1.00E+00,3.73E-01
64,1.43E-01,8.80E-01,9.24E-01,1.00E+00,5.90E-01,7.65E-01,1.48E-01,1.83E-01,1.34E-01,9.73E-01,2.35E-01,1.83E-01,8.23E-01,1.15E-01,4.82E-01,1.03E-01,1.23E-01
65,1.93E-01,1.00E-03,7.51E-01,9.85E-01,1.52E-02,1.43E-03,8.69E-02,7.07E-01,2.53E-01,7.78E-01,1.12E-01,5.77E-01,2.63E-01,8.72E-01,9.58E-01,1.50E-02,6.07E-01
66,5.60E-01,5.29E-01,9.94E-01,1.00E+00,4.62E-01,2.53E-01,1.95E-01,6.13E-01,9.26E-02,7.76E-01,6.08E-01,2.75E-01,8.69E-01,1.89E-01,1.95E-01,7.48E-01,6.07E-01
67,1.69E-01,1.48E-01,4.59E-01,1.00E+00,9.89E-01,2.49E-01,1.84E-01,6.51E-01,7.76E-02,8.67E-01,4.69E-01,2.75E-01,8.75E-01,4.24E-01,4.36E-02,1.00E+00,9.16E-01
68,1.29E-01,6.68E-01,3.51E-01,1.00E+00,9.00E-01,1.96E-01,2.07E-01,5.21E-01,2.92E-01,1.00E+00,7.70E-01,6.55E-01,5.25E-01,3.72E-01,7.39E-01,3.78E-01,3.48E-01
69,6.50E-01,1.67E-01,9.73E-01,1.00E+00,9.68E-01,5.27E-01,4.54E-02,2.59E-01,1.61E-01,8.51E-01,3.30E-01,7.78E-01,3.32E-02,9.45E-01,2.90E-01,3.77E-02,9.48E-01
70,5.52E-01,1.00E-03,1.00E+00,3.18E-01,1.74E-01,9.38E-01,4.23E-02,7.45E-01,2.94E-01,1.00E-03,1.00E+00,6.84E-01,1.00E-03,3.13E-01,7.89E-01,1.00E-01,7.76E-01
71,7.43E-01,5.29E-01,5.65E-01,1.00E+00,1.23E-01,1.00E-03,7.11E-01,9.60E-01,4.37E-01,1.00E+00,1.00E+00,1.00E-03,3.91E-01,1.00E+00,6.99E-01,6.18E-02,1.00E+00
72,2.95E-01,5.36E-01,9.25E-01,1.00E+00,3.66E-01,3.73E-02,1.66E-01,6.98E-01,2.52E-01,9.98E-01,1.00E-03,9.86E-01,2.57E-01,6.13E-01,9.91E-01,3.63E-01,8.07E-01
73,8.57E-01,6.12E-01,8.61E-01,1.00E+00,7.96E-01,8.33E-02,2.16E-01,3.92E-02,2.67E-01,9.97E-01,1.00E+00,9.80E-02,8.41E-01,9.99E-01,7.48E-01,1.00E+00,2.88E-01
74,4.90E-01,9.98E-01,4.45E-01,1.00E+00,5.48E-01,7.47E-01,1.75E-01,9.46E-01,1.54E-01,1.00E+00,9.96E-01,3.02E-01,4.45E-01,2.10E-01,7.65E-01,2.16E-02,5.92E-01
75,2.11E-01,2.79E-01,9.68E-01,1.00E+00,3.63E-01,8.85E-01,2.45E-01,6.22E-01,1.80E-01,1.00E+00,6.16E-01,8.51E-01,9.82E-01,2.60E-01,5.00E-01,3.65E-01,8.67E-01
76,2.64E-01,8.27E-01,9.37E-01,1.00E+00,8.02E-01,1.00E+00,6.40E-01,2.99E-01,2.19E-01,1.00E+00,3.89E-01,6.90E-01,3.30E-01,1.73E-01,9.09E-01,4.05E-01,2.51E-01
77,4.96E-01,2.70E-01,5.85E-01,9.97E-01,2.13E-02,1.13E-01,1.95E-02,5.44E-01,2.23E-01,7.74E-01,1.00E+00,3.50E-01,2.56E-01,3.56E-01,6.70E-01,7.58E-01,8.79E-01
78,9.01E-01,2.15E-01,5.38E-01,9.96E-01,3.31E-01,5.75E-01,5.81E-02,8.64E-01,1.69E-01,9.85E-01,3.99E-02,9.43E-01,4.72E-01,6.50E-01,6.89E-01,2.46E-01,4.61E-01
79,7.89E-01,8.79E-01,3.54E-01,1.00E+00,9.29E-01,1.00E-03,7.86E-01,1.00E+00,2.93E-01,1.00E+00,1.00E+00,3.63E-01,8.64E-01,1.00E+00,1.00E-03,3.56E-01,1.00E+00
80,5.48E-01,9.48E-01,6.66E-01,1.00E+00,1.00E+00,1.14E-01,2.16E-01,4.57E-01,3.51E-01,1.00E+00,1.00E+00,8.32E-01,4.48E-01,1.00E+00,2.09E-01,1.67E-01,7.00E-01
81,1.91E-01,1.81E-01,4.16E-01,9.70E-01,8.81E-01,2.87E-03,6.67E-02,1.09E-01,4.29E-01,9.86E-01,1.00E+00,9.47E-01,9.02E-01,3.15E-01,2.59E-01,7.78E-02,3.90E-01
82,9.66E-01,4.92E-01,1.00E+00,1.00E+00,1.00E-03,2.69E-01,5.78E-01,5.11E-01,5.15E-01,6.21E-01,1.00E+00,4.95E-01,1.00E+00,2.80E-01,1.00E-03,1.00E-03,5.36E-01
83,3.47E-01,5.66E-01,2.49E-02,1.00E+00,9.82E-01,8.62E-01,1.76E-01,1.38E-01,8.38E-02,8.80E-01,3.05E-01,3.94E-01,3.89E-01,2.81E-01,6.44E-01,2.38E-01,1.22E-01
