,O,D,C,R,Ch,P,Rg
0,0.9965,0.349,0.998,0.3185,0.092,0.8155,0.056
1,0.935,0.232,0.886,0.22,0.372,0.065,0.0625
2,0.9125,0.615,0.8585,0.232,0.0,0.357,0.0
3,0.9895,0.371,0.9995,0.2225,0.108,0.9375,0.0975
4,1.0,0.0135,0.436,0.088,0.108,0.859,0.0
5,0.9825,0.5415,0.998,0.7305,0.609,0.997,0.1605
6,0.9975,0.2245,0.8895,0.225,0.05,0.371,0.0475
7,0.928,0.1455,0.886,0.2195,0.3575,0.065,0.064
8,1.0,0.1775,0.8095,0.244,0.205,0.268,0.0535
9,0.999,0.396,0.9975,0.239,0.895,0.968,0.2035
10,0.9075,0.532,0.9975,0.2575,0.6825,0.973,0.052
11,0.7145,0.2885,0.8865,0.2645,1.0,0.1565,0.1525
12,0.974,0.0,0.436,0.0765,0.1505,0.0615,0.0
13,0.8335,0.257,0.436,0.1055,0.1055,0.0665,0.0625
14,0.7615,0.109,0.8735,0.2245,0.058,0.525,0.0415
15,0.9965,0.3515,0.9945,0.4675,0.5065,0.9625,0.0845
16,0.999,0.66,0.998,0.7145,0.083,0.248,0.05
17,0.925,0.3185,0.992,0.4095,0.7595,0.9585,0.112
18,1.0,0.1575,0.436,0.103,0.106,0.073,0.0195
19,0.937,0.547,0.8895,0.235,0.0195,0.3515,0.0
20,0.957,0.706,0.8115,0.3315,0.0,0.0535,0.0
21,0.9965,0.5385,0.998,0.2575,0.882,0.9845,0.2245
22,0.9985,0.254,0.999,0.23,0.226,0.3875,0.1645
23,0.936,0.527,0.8895,0.2325,0.716,0.4025,0.021
24,0.993,0.3005,0.999,0.351,0.7515,0.9505,0.089
25,0.8685,0.581,0.436,0.218,0.0,0.578,0.0
26,0.996,0.535,0.998,0.3435,0.372,0.981,0.039
27,1.0,0.11,0.8085,0.2495,0.391,0.9715,0.1075
28,0.989,0.404,0.759,0.389,0.5535,0.8675,0.204
29,0.9815,0.7405,1.0,0.3325,0.7275,0.986,0.138
30,0.8705,0.809,0.772,0.252,0.7865,0.899,0.116
31,0.958,0.4985,0.7535,0.397,0.8545,0.926,0.186
32,0.0085,0.097,0.885,0.2225,0.106,0.5145,0.0085
33,0.9915,0.742,0.709,0.331,0.9925,0.96,0.2865
34,0.94,0.84,0.998,0.305,0.6305,0.9815,0.076
35,0.9665,0.213,1.0,0.227,0.179,0.6975,0.109
36,0.9745,0.6015,0.751,0.347,0.0055,0.122,0.0
37,0.9985,0.135,0.998,0.3845,0.14,0.765,0.0335
38,0.981,0.677,0.9995,0.254,0.1365,0.7725,0.016
39,0.819,0.706,0.998,0.404,0.067,0.749,0.028
40,0.9995,0.39,0.998,0.672,0.5805,0.9975,0.1515
41,0.9955,0.2865,0.748,0.2915,0.8515,0.9395,0.195
42,0.9985,0.2135,0.5845,0.3835,0.586,0.937,0.091
43,0.9805,0.412,0.9975,0.7125,0.37,0.7295,0.0425
44,0.9785,0.3765,0.999,0.7415,0.282,0.8895,0.02
45,0.9945,0.696,0.582,0.1985,0.422,0.934,0.071
46,0.996,0.2925,0.8085,0.318,0.358,0.35,0.0305
47,0.9785,0.016,0.436,0.171,0.286,0.394,0.0015
48,0.951,0.3605,0.752,0.312,0.033,0.9425,0.032
49,0.997,0.325,0.9965,0.323,0.7325,0.9975,0.0905
50,0.9545,0.296,0.849,0.2735,0.3575,0.556,0.012
51,0.9955,0.463,0.9975,0.238,0.5315,0.7375,0.0305
52,0.997,0.408,0.992,0.698,0.7125,0.972,0.1805
53,1.0,0.335,0.436,0.3265,0.3785,0.914,0.051
54,0.993,0.7755,0.998,0.263,0.1695,0.9725,0.029
55,0.9955,0.4585,0.742,0.3555,0.861,0.9525,0.2465
56,0.8945,0.786,0.9965,0.279,0.3175,0.9965,0.0955
57,0.9785,0.5255,0.999,0.757,0.678,0.965,0.3125
58,0.9565,0.414,0.7595,0.1535,0.5755,0.968,0.027
59,1.0,0.6915,0.998,0.7545,0.734,0.353,0.1235
60,0.9235,0.4195,0.807,0.3215,0.096,0.0725,0.0645
61,1.0,0.0,0.9975,0.62,0.9955,0.982,0.0
62,0.9965,0.1995,0.8895,0.2355,0.3325,0.603,0.0135
63,0.9955,0.437,0.9975,0.2615,0.659,0.948,0.0875
64,1.0,0.673,0.9975,0.397,0.627,0.8285,0.112
65,0.7065,0.768,0.7615,0.362,0.9465,0.964,0.216
66,0.9885,0.469,0.999,0.6615,0.245,0.51,0.036
67,0.9975,0.7915,0.9975,0.7015,0.682,0.405,0.1375
68,0.9965,0.475,0.999,0.312,0.9995,0.976,0.2485
69,0.9895,0.684,0.7685,0.449,0.975,0.943,0.3535
70,0.8805,0.201,0.436,0.2805,0.1125,0.312,0.0095
71,0.997,0.101,0.888,0.223,0.795,0.147,0.0935
72,0.987,0.5285,0.7295,0.3535,0.9725,0.9885,0.2795
73,1.0,0.102,0.8095,0.2955,0.425,0.9415,0.089
74,0.978,0.3455,0.9945,0.4565,0.873,0.974,0.1535
75,0.9925,0.615,0.998,0.39,0.434,0.929,0.0645
76,1.0,0.1375,0.998,0.2325,0.8955,0.991,0.1265
77,0.9545,0.661,0.436,0.155,0.0,0.1865,0.0
78,0.955,0.6505,0.7875,0.5325,0.543,0.981,0.104
79,0.996,0.097,0.843,0.2225,0.96,0.1415,0.0935
80,1.0,0.101,0.805,0.2895,0.255,0.152,0.0945
81,0.9695,0.7915,0.436,0.3055,0.0015,0.2175,0.0
82,0.9895,0.2235,0.8155,0.2365,0.4345,0.598,0.0105
83,0.941,0.584,0.9975,0.6955,0.6195,0.9575,0.223
84,0.742,0.0,0.436,0.235,0.106,0.8765,0.0
85,0.9995,0.4745,0.998,0.718,0.0425,0.8975,0.0275
86,1.0,0.0005,0.436,0.3295,0.072,0.4065,0.0005
87,0.9205,0.6095,0.827,0.295,0.0,0.343,0.0
88,0.977,0.574,0.9975,0.7175,0.757,0.932,0.36
89,0.9875,0.538,0.7575,0.3735,0.568,0.978,0.072
90,1.0,0.4265,0.436,0.101,0.0465,0.3845,0.0465
91,0.992,0.6165,0.9975,0.702,0.0315,0.621,0.0245
92,0.993,0.9115,0.759,0.318,0.3375,0.6265,0.034
93,1.0,0.6985,0.854,0.2445,0.0595,0.8985,0.0595
94,1.0,0.611,0.8535,0.278,0.828,0.172,0.1495
95,0.981,0.6535,0.9975,0.3825,0.0205,0.8505,0.004
96,0.985,0.5045,0.998,0.335,0.4635,0.565,0.009
97,0.99,0.478,0.998,0.236,0.036,0.164,0.0345
98,0.845,0.4085,0.9975,0.3975,0.0265,0.9075,0.026
99,1.0,0.4685,0.8095,0.235,0.086,0.861,0.072
100,0.9605,0.631,0.8895,0.235,0.0045,0.4045,0.0
101,0.926,0.5965,0.998,0.3655,0.928,0.9825,0.2345
102,0.9235,0.585,0.999,0.273,0.6645,0.9685,0.057
103,0.9835,0.2395,0.9995,0.2315,0.2375,0.8975,0.036
104,0.992,0.3515,0.9975,0.3085,0.71,0.9765,0.06
105,0.9245,0.35,0.9975,0.682,0.5015,0.9535,0.1035
106,0.9735,0.4135,0.882,0.277,0.435,0.25,0.0455
107,1.0,0.3445,0.436,0.331,0.0965,0.646,0.0545
108,0.9995,0.4625,0.9975,0.349,0.8705,0.9895,0.1205
109,0.8755,0.723,0.752,0.411,0.5275,0.9155,0.0765
110,0.9845,0.4175,0.998,0.681,0.2095,0.585,0.038
111,0.411,0.086,0.436,0.1005,0.063,0.7715,0.0455
112,0.997,0.606,0.998,0.7135,0.352,0.789,0.124
113,0.993,0.4615,0.998,0.411,0.4575,0.286,0.0005
114,1.0,0.373,0.5865,0.302,0.0865,0.934,0.0795
115,0.9805,0.4485,0.998,0.444,0.951,0.992,0.2935
116,0.985,0.3575,0.9995,0.246,0.725,0.8775,0.039
117,0.997,0.312,1.0,0.591,0.0475,0.932,0.0265
118,0.9985,0.262,1.0,0.3635,0.033,0.7715,0.033
119,0.9995,0.642,0.999,0.24,0.5495,0.9885,0.065
120,0.045,0.0,0.8915,0.225,0.6215,0.978,0.0
121,1.0,0.33,0.436,0.319,0.179,0.0615,0.0615
122,0.9995,0.7485,0.998,0.252,0.055,0.8065,0.0545
123,0.9675,0.3805,0.998,0.3705,0.527,0.832,0.0275
124,0.993,0.5735,0.641,0.2005,0.7485,0.8485,0.0285
125,0.9835,0.4785,0.998,0.358,0.221,0.762,0.004
126,0.979,0.869,0.999,0.501,0.123,0.9395,0.0035
127,0.9955,0.5925,0.436,0.105,0.024,0.549,0.02
128,0.994,0.5635,0.9995,0.3425,0.1265,0.1805,0.0075
129,0.9895,0.242,0.9985,0.237,0.048,0.758,0.023
130,1.0,0.7725,0.998,0.338,0.3875,0.787,0.063
131,1.0,0.136,0.808,0.141,0.0915,0.7,0.0315
132,0.942,0.6125,0.999,0.784,0.9575,0.9705,0.5075
133,0.9655,0.272,0.9975,0.316,0.77,0.9645,0.0735
134,1.0,0.409,0.436,0.28,0.5275,0.9015,0.069
135,0.9985,0.2855,0.998,0.2505,0.2095,0.6615,0.0455
136,0.9795,0.525,0.8005,0.568,0.368,0.9725,0.026
137,0.951,0.668,0.999,0.6085,0.0845,0.643,0.006
138,0.996,0.5675,0.8585,0.2795,0.0425,0.5335,0.0425
139,0.9975,0.503,0.436,0.2705,0.501,0.0625,0.0605
140,0.9705,0.8365,0.9985,0.7085,0.8705,0.9715,0.558
141,0.9935,0.237,0.9985,0.237,0.049,0.7585,0.023
142,1.0,0.3465,0.6805,0.3375,0.509,0.933,0.132
143,0.973,0.8365,0.9975,0.7265,0.9645,0.579,0.2965
144,0.998,0.7085,0.999,0.262,0.74,0.982,0.1065
145,1.0,0.1585,0.9975,0.2325,0.1675,0.7925,0.0965
146,0.9975,0.5235,0.9975,0.724,0.1385,0.489,0.0085
147,0.997,0.702,0.9975,0.324,0.343,0.9965,0.0425
148,0.014,0.11,0.8895,0.2225,0.662,0.9595,0.0075
149,0.9965,0.25,0.9995,0.659,0.431,0.962,0.192
150,0.9905,0.4965,0.998,0.2585,0.578,0.982,0.0725
151,0.995,0.2305,0.998,0.6015,0.673,0.943,0.1645
152,0.973,0.551,0.998,0.637,0.6465,0.732,0.154
153,0.977,0.8565,0.9925,0.5525,0.508,0.775,0.1465
154,0.9565,0.333,0.8105,0.234,0.49,0.5775,0.0185
155,0.95,0.6675,0.7495,0.3185,0.532,0.9335,0.0075
156,0.9895,0.815,0.7735,0.5175,0.855,0.964,0.3295
157,0.999,0.381,0.998,0.3955,0.4925,0.914,0.0655
158,0.98,0.747,0.998,0.2415,0.444,0.921,0.1635
159,0.996,0.106,0.436,0.2235,0.062,0.905,0.016
160,0.998,0.8265,0.998,0.744,0.3335,0.8105,0.1195
161,0.9475,0.821,0.9975,0.4005,0.9,0.7715,0.2055
162,0.9805,0.161,1.0,0.223,0.2725,0.9805,0.15
163,0.873,0.0175,0.436,0.2145,0.1045,0.065,0.0175
164,0.8765,0.7125,0.7505,0.32,0.2295,0.9295,0.001
165,0.996,0.5135,0.752,0.3075,0.308,0.8745,0.0255
166,0.973,0.6725,0.67,0.276,0.9865,0.728,0.2445
167,0.9885,0.5025,0.999,0.72,0.852,0.951,0.353
168,0.995,0.483,0.766,0.458,0.6785,0.931,0.1
